TIME,FLOW
3.899989999999345,0.0
3.7999899999986897,0.0
3.6999899999980346,0.0
3.5999899999973795,0.0
3.4999899999967243,0.0
3.399989999996069,0.0
3.299989999995414,0.0
3.199989999994759,0.0
3.099989999994104,0.0
2.9999899999934487,0.0
2.8999899999927936,0.0
2.7999899999921385,0.0
2.6999899999914834,0.0
2.5999899999908282,0.0
2.499989999990173,0.0
2.399989999989518,0.0
2.299989999988863,0.0
2.1999899999882078,0.0
2.0999899999875526,0.0
1.9999899999868975,0.0
1.8999899999862424,0.0
1.7999899999855873,0.0
1.6999899999849322,0.0
1.599989999984277,0.0
1.499989999983622,10.0
1.3999899999829668,0.0
1.2999899999823117,0.0
1.1999899999816566,0.0
1.0999899999810014,10.0
0.9999899999803465,0.0
0.8999899999808016,0.0
0.7999899999812567,0.0
0.6999899999817119,10.0
0.599989999982167,0.0
0.49998999998262195,0.0
0.39998999998252194,0.0
0.29998999998242193,0.0
0.19998999998232192,0.0
0.09998999998225663,0.0
