t = 0.0, value
0.000000, 0.9999278622955101
0.000100, 0.9998543065293294
0.000200, 0.9997793330090955
0.000300, 0.9997029420444278
0.000400, 0.9996251339469261
0.000500, 0.99954590903017
0.000600, 0.9994652676097183
0.000700, 0.9993832100031078
0.000800, 0.9992997365298533
0.000900, 0.9992148475114463
0.001000, 0.9991285432713545
0.001100, 0.9990408241350209
0.001200, 0.9989516904298633
0.001300, 0.9988611424852734
0.001400, 0.9987691806326157
0.001500, 0.9986758052052276
0.001600, 0.9985810165384178
0.001700, 0.9984848149694658
0.001800, 0.9983872008376217
0.001900, 0.9982881744841043
0.002000, 0.9981877362521014
0.002100, 0.9980858864867685
0.002200, 0.9979826255352281
0.002300, 0.9978779537465688
0.002400, 0.9977718714718451
0.002500, 0.9976643790640758
0.002600, 0.9975554768782436
0.002700, 0.9974451652712947
0.002800, 0.9973334446021371
0.002900, 0.9972203152316409
0.003000, 0.9971057775226363
0.003100, 0.996989831839914
0.003200, 0.9968724785502234
0.003300, 0.9967537180222726
0.003400, 0.996633550626727
0.003500, 0.996511976736209
0.003600, 0.9963889967252963
0.003700, 0.9962646109705225
0.003800, 0.9961388198503749
0.003900, 0.9960116237452944
0.004000, 0.9958830230376746
0.004100, 0.9957530181118609
0.004200, 0.9956216093541495
0.004300, 0.9954887971527868
0.004400, 0.995354581897969
0.004500, 0.99521896398184
0.004600, 0.9950819437984918
0.004700, 0.9949435217439634
0.004800, 0.9948036982162393
0.004900, 0.9946624736152492
0.005000, 0.9945198483428673
0.005100, 0.994375822802911
0.005200, 0.9942303974011405
0.005300, 0.9940835725452574
0.005400, 0.9939353486449041
0.005500, 0.9937857261116634
0.005600, 0.9936347053590568
0.005700, 0.9934822868025442
0.005800, 0.9933284708595229
0.005900, 0.9931732579493266
0.006000, 0.9930166484932249
0.006100, 0.9928586429144216
0.006200, 0.9926992416380549
0.006300, 0.9925384450911957
0.006400, 0.9923762537028472
0.006500, 0.9922126679039436
0.006600, 0.9920476881273494
0.006700, 0.9918813148078587
0.006800, 0.991713548382194
0.006900, 0.9915443892890056
0.007000, 0.9913738379688702
0.007100, 0.9912018948642908
0.007200, 0.9910285604196947
0.007300, 0.9908538350814337
0.007400, 0.9906777192977823
0.007500, 0.9905002135189375
0.007600, 0.9903213181970175
0.007700, 0.9901410337860608
0.007800, 0.9899593607420252
0.007900, 0.9897762995227871
0.008000, 0.9895918505881405
0.008100, 0.9894060143997957
0.008200, 0.9892187914213793
0.008300, 0.9890301821184321
0.008400, 0.9888401869584089
0.008500, 0.9886488064106775
0.008600, 0.9884560409465176
0.008700, 0.98826189103912
0.008800, 0.988066357163585
0.008900, 0.9878694397969227
0.009000, 0.9876711394180507
0.009100, 0.9874714565077944
0.009200, 0.987270391548885
0.009300, 0.9870679450259588
0.009400, 0.986864117425557
0.009500, 0.9866589092361236
0.009600, 0.9864523209480053
0.009700, 0.9862443530534498
0.009800, 0.9860350060466057
0.009900, 0.9858242804235204
0.010000, 0.9856121766821404
